name,pincode,phone
Aasrayamedicals,670001,04972755373
Achus Medicals,670562,04972780509
Bharath Dispensery,670571,9446090021
Bombay Medicals,670001,04972712201
Brothers Medicals,670003,04972741626
Chala Medicals,670621,04972824663
Dhanwanthri Ayurvedic Supplies,670001,04972700268
District Medical Store,670001,04972705046
Durga Medicals,670003,04972767532
Government Hospital Pharmacy,670642,04902326050
Ilahi Medicals,670003,04972760783
Janaki Medicals,670001,04972741648
KJ Medicals,670003,04972711813
Kakkad Medicals,670001,04972728479
Kannur Medicals,670004,04972709914
Kottakkal Arya Vaidya Sala,670002,04972765045
Kottakkal Arya Vaidya Sala Town,670001,04972700286
Kottakkal Arya Vaidya Sala Branch,670141,0460203629
Kottakkal Arya Vaidya Sala Taliparamba,670594,04972721516
Kottakkal Arya Vaidya Sala Payyannur,670501,04972801580
Kottakkal Arya Vaidya Sala Iritty,670705,04972228120
MM Medicals,670001,04972701049
Meera Medicals,670003,04972760329
Meera Medicals Branch,670003,04972727828
Meneka Medicals,670702,04902472149
Narayana Medicals,670001,04972700724
Needhi Medical Store,670642,04902325730
Neethi Medical Store,670001,04972707322
Neethi Medical Store Branch,670001,04972875247
New Medical Store,670641,04972667550
New Medicals,670001,04972703441
New Medicals Branch,670621,04972820242
New Priya Medicals,670613,04972856039
Nina Medicals,670141,04602202403
Parvathi Medicals,670001,04972779447
Priya Medicals,670613,04972851930
Radha Medicals,670001,04972706532
Razin Medicals,670009,9656689293
Roopa Medicals,670003,04972760029
Royal Medicals,670692,04902317757
Sangamam Medical Store,670642,04902306651
Sanjeevani Medicals,670001,04972704208
Sarathi Medicals,670692,9495616407
Shankar Agencies,670642,04902321435
Shoba Medicals,670001,04972851477
Soumini Medicals,670001,04972853025
Sree Medicals,670011,04972778986
Sree Sadan Ayurvedic Oushadhasala,670001,04972703496
Sreehari Pharma,670562,04972780703
Star Medicals,670141,9745761920
The Apollo Clinic Pharmacy,670001,04972768041
Welcare Community Pharmacy,670141,9895677267
